gene	effect	se	zscore	pvalue	n_samples	status
ENSG00000157510	-55.624826083566965	12.705713189085781	-4.377938117739722	1.4229981541366855e-05	578	NA
ENSG00000163703	326.46192391959477	77.34344137362893	4.2209386875162425	2.8263872623982893e-05	578	NA
ENSG00000197766	244.21683016907366	61.663423953457034	3.9604811817359704	8.416990923032563e-05	578	NA
ENSG00000161526	10043.310109974707	2571.2686834681685	3.905974577665734	0.00010497543855455253	578	NA
ENSG00000120802	-2315.258751502559	593.6011969626162	-3.9003606518137954	0.00010737522847365473	578	NA
ENSG00000148985	603.5879156926071	159.351258417473	3.787782548358107	0.00016796891326140097	578	NA
ENSG00000136158	546.7527583024219	149.35365097099964	3.6607927208193	0.00027456377222933145	578	NA
ENSG00000163060	-2768.6267123580255	763.3518768258243	-3.6269337855964285	0.0003122537385849856	578	NA
ENSG00000174501	1851.1338750636548	510.3853515095938	3.626933785596428	0.00031225373858498567	578	NA
ENSG00000111727	599.5507973156738	165.71521414772198	3.6179586792871157	0.0003230297417443894	578	NA
ENSG00000166825	-60.68089099104701	16.866301088982734	-3.597759263925656	0.0003485719579556903	578	NA
ENSG00000175262	189019.4486460818	52696.46626057177	3.586947324160686	0.00036301016268078733	578	NA
ENSG00000105053	-67.54009227631524	19.3219756508154	-3.4955065411991137	0.0005095732767842526	578	NA
ENSG00000187758	3761.5400663529604	1078.4451414248351	3.487928983928878	0.0005239246834269403	578	NA
ENSG00000175602	-807.1070512699093	232.13228954017995	-3.476927112848756	0.0005454349429046757	578	NA
ENSG00000130783	-6115.488986411002	1762.3366105357652	-3.4701026749661867	0.0005591893048230328	578	NA
ENSG00000255398	-1333.5423833814334	384.8408375783864	-3.465178986130365	0.0005693131905873683	578	NA
ENSG00000172116	-8266.443821094652	2418.543584803199	-3.4179428781174135	0.0006755191759298392	578	NA
ENSG00000144026	-227.79091063256396	67.56976774044787	-3.3711957026042323	0.0007985738769579616	578	NA
ENSG00000164305	256.3586557440765	76.60876132338299	3.3463359975490055	0.0008722153991418456	578	NA
ENSG00000175550	9481.699779845096	2909.904330712081	3.2584231996124884	0.0011863138309719857	578	NA
ENSG00000174791	1914.2206795640184	587.4684048995445	3.2584231996124884	0.0011863138309719857	578	NA
ENSG00000116704	-907.7215257154944	278.6692973697123	-3.257343145740288	0.0011907545324850498	578	NA
ENSG00000082898	-1585.8636677702987	490.34595172358826	-3.2341730612762603	0.001289807504194176	578	NA
ENSG00000025156	-470.4546517774656	145.6540928072046	-3.2299446085609422	0.0013086870971539366	578	NA
ENSG00000051128	51.61135526461122	15.992094590414023	3.2273042766735562	0.0013206052380243	578	NA
ENSG00000164520	2016.3975295232729	627.2722595342156	3.214549183189704	0.0013796072918117487	578	NA
ENSG00000127989	662.9515621698305	206.36926192512047	3.2124530367820836	0.0013895336238087677	578	NA
ENSG00000116661	69282.12330335945	21605.47159629792	3.2066934060921346	0.0014171494426725591	578	NA
ENSG00000138271	-53395.07384841564	16688.02227819753	-3.19960466005459	0.0014518342722242821	578	NA
ENSG00000162444	-275.9851391136332	87.08765728602128	-3.169049986121655	0.0016105010414023007	578	NA
ENSG00000170367	2377.0396345628774	756.6442691710054	3.1415550628133477	0.001766804850849552	578	NA
ENSG00000155287	1226.0363262639528	393.9475374697853	3.112181723836734	0.0019491466006727276	578	NA
ENSG00000196739	2028.5542243998211	654.4842186358786	3.0994700355462728	0.0020333021972391793	578	NA
ENSG00000104368	2025.5940826180479	657.280819130148	3.081778782619489	0.0021559937776867697	578	NA
ENSG00000112081	-1969.6404546220429	639.8631984795267	-3.078221187438809	0.002181473597749324	578	NA
ENSG00000120451	189.19722712500325	62.05494466726777	3.0488662610120647	0.0024025199847562567	578	NA
ENSG00000104635	486.57836144943565	160.00280926194887	3.041061364446627	0.0024646563337403665	578	NA
ENSG00000111863	5402.397298221984	1777.616201066369	3.0391246968727867	0.0024803011528748637	578	NA
ENSG00000118217	383.0390804042198	126.69503144112336	3.023315721597358	0.002611457152234285	578	NA
ENSG00000150471	-816.6276033912559	270.8008747283502	-3.015601793053451	0.0026777353087274747	578	NA
ENSG00000119778	-590.1891458843168	196.14903839188685	-3.0088811585462674	0.002736731661896852	578	NA
ENSG00000183287	-176.03238637874978	58.80322516543075	-2.993583870332264	0.002875481982657768	578	NA
ENSG00000137478	-373.71676782953017	125.27019629227262	-2.9832855610571367	0.002972485130563252	578	NA
ENSG00000148965	-10517.741506479395	3536.137645528742	-2.9743586253715324	0.00305898312486851	578	NA
ENSG00000167645	528.1938847301841	177.80034834357733	2.970713441514267	0.00309496040597436	578	NA
ENSG00000119509	231.4076104366986	78.00059448710986	2.966741624962106	0.0031346015461658746	578	NA
ENSG00000125753	646.1804008652919	217.83325815977818	2.966399191400452	0.003138040878798131	578	NA
ENSG00000141741	1068.6301113382801	361.0708477503333	2.959613377807773	0.003206911514800486	578	NA
ENSG00000242715	636.9732729781774	215.3428755489168	2.9579491374140403	0.0032240117893187546	578	NA
ENSG00000167967	-1372.4420100133946	465.7921503995846	-2.946468738977312	0.003344262016667807	578	NA
ENSG00000110768	-32.21713685043686	10.9580031501015	-2.940055447067328	0.003413206664338477	578	NA
ENSG00000140807	-415.83571578072906	141.60925072115452	-2.936501066583278	0.003451973601662011	578	NA
ENSG00000109819	-859.571984199839	293.21480161943157	-2.9315436309913574	0.0035067145667805953	578	NA
ENSG00000217930	-1678.8853221146742	574.2838072299517	-2.923441860937625	0.0035978828587319117	578	NA
ENSG00000163481	-591.2013529830613	202.41125484692165	-2.920792884912311	0.0036281571364105434	578	NA
